Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
J91H02JEQ,ANY,03 32 18.722,-27 52 01.54,7,2005-08-14 20:03:17,2005-08-14 20:15:55,757.000,ACS   ,WFC,F606W;CLEAR2L,5919.229,10258,2006-08-15 01:36:25,J91H02JEQ,,10,0.476
IBEVE0020,GOODS-S080-VE0,03 32 18.930,-27 51 59.24,77,2012-02-16 09:19:19,2012-02-16 09:37:07,1005.868,WFC3  ,IR-FIX,F125W,12486.060,12062,2012-02-16 12:14:13,IBEVE0020,,32,0.478
IBEVE0UNQ,GOODS-S080-VE0,03 32 18.945,-27 51 58.56,77,2012-02-16 09:49:10,2012-02-16 09:56:24,434.000,WFC3  ,UVIS-CENTER,F350LP,5859.400,12062,2012-02-16 12:13:20,IBEVE0UNQ,,,0.485
IBEVE0U9Q,GOODS-S080-VE0,03 32 18.908,-27 51 58.71,77,2012-02-16 09:08:14,2012-02-16 09:18:17,602.934,WFC3  ,IR-FIX,F160W,15369.176,12062,2012-02-16 12:10:47,IBEVE0U9Q,,38,0.488
J91H02J4Q,ANY,03 32 18.522,-27 52 02.93,7,2005-08-14 18:58:31,2005-08-14 19:11:37,785.000,ACS   ,WFC,F850LP;CLEAR2L,9036.484,10258,2006-08-15 01:36:19,J91H02J4Q,,10,0.491
IBEVE0UKQ,GOODS-S080-VE0,03 32 18.949,-27 51 58.02,77,2012-02-16 09:38:09,2012-02-16 09:47:22,552.937,WFC3  ,IR-FIX,F160W,15369.176,12062,2012-02-16 12:12:46,IBEVE0UKQ,,38,0.492
N96026U4Q,WFPCUDF1-1,03 32 20.649,-27 51 51.33,11,2005-02-27 13:09:56,2005-02-27 13:20:36,639.967,NICMOS,NIC3,F110W,11200.500,10403,2005-02-28 00:14:54,N96026U4Q,,,0.535
N96026U6Q,WFPCUDF1-1,03 32 20.649,-27 51 51.33,11,2005-02-27 13:20:58,2005-02-27 13:31:38,639.967,NICMOS,NIC3,F160W,16041.600,10403,2005-02-28 00:15:17,N96026U6Q,,,0.535
N96026U0Q,WFPCUDF1-1,03 32 20.755,-27 51 49.94,11,2005-02-27 12:47:47,2005-02-27 12:58:27,639.967,NICMOS,NIC3,F160W,16041.600,10403,2005-02-28 00:14:15,N96026U0Q,,,0.563
N96026U2Q,WFPCUDF1-1,03 32 20.755,-27 51 49.94,11,2005-02-27 12:58:50,2005-02-27 13:09:30,639.967,NICMOS,NIC3,F110W,11200.500,10403,2005-02-28 00:14:46,N96026U2Q,,,0.563
O8JL9ED0Q,DARK,03 32 22.236,-27 52 44.44,0,2003-08-31 00:00:07,2003-08-31 00:18:27,1100.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-08-31 09:41:49,O8JL9ED0Q,,,0.584
O8JL9ED1Q,DARK,03 32 22.236,-27 52 44.44,0,2003-08-31 00:19:11,2003-08-31 00:20:11,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-08-31 09:43:50,O8JL9ED1Q,,,0.584
U8H08901M,DARK,03 32 22.236,-27 52 44.44,0,2003-08-31 00:03:15,2003-08-31 00:19:55,1000.000,WFPC2 ,WFALL,F1042M;F437N,-1.000,9595,2003-08-31 01:54:42,U8H08901M,,,0.584
O8KE5N030,BIAS,03 32 17.950,-27 52 03.13,1,2003-09-13 13:02:29,2003-09-13 13:04:03,0.000,STIS  ,0.05X31NDB,MIRVIS,0.000,9620,2003-09-13 16:47:40,,,,0.588
O8KE5N040,BIAS,03 32 17.950,-27 52 03.13,1,2003-09-13 13:04:50,2003-09-13 13:06:24,0.000,STIS  ,0.05X31NDB,MIRVIS,0.000,9620,2003-09-13 16:48:21,,,,0.588
O8KE5N050,BIAS,03 32 17.950,-27 52 03.13,1,2003-09-13 13:07:11,2003-09-13 13:11:44,0.000,STIS  ,0.05X31NDB,MIRVIS,0.000,9620,2003-09-13 16:49:11,,,,0.588
U8LPAC01M,GOODS,03 32 17.950,-27 52 03.13,3,2003-09-13 13:32:15,2003-09-13 13:48:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-13 16:54:27,U8LPAC01M,,,0.588
U8LPAC02M,GOODS,03 32 17.950,-27 52 03.13,3,2003-09-13 13:51:15,2003-09-13 14:02:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-13 16:55:35,U8LPAC02M,,,0.588
U8LPAS01M,GOODS,03 32 17.950,-27 52 03.13,3,2003-09-13 13:21:15,2003-09-13 13:25:35,260.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-13 22:01:38,U8LPAS01M,,,0.588
O8KE5N010,NONE,03 32 17.950,-27 52 03.13,1,2003-09-13 12:54:46,2003-09-13 12:56:12,0.600,STIS  ,0.05X31NDB,MIRVIS,0.000,9620,2003-09-13 16:46:40,,,,0.588
O8KE5N020,NONE,03 32 17.950,-27 52 03.13,1,2003-09-13 12:57:38,2003-09-13 12:59:01,0.600,STIS  ,0.05X31NDB,MIRVIS,0.000,9620,2003-09-13 16:47:20,,,,0.588
O8KE5NHYQ,NONE,03 32 17.950,-27 52 03.13,1,2003-09-13 12:52:01,2003-09-13 12:52:01,0.300,STIS  ,0.05X31NDB,MIRVIS,0.000,9620,2003-09-13 16:46:09,,,,0.588
O8KE5NHZQ,NONE,03 32 17.950,-27 52 03.13,1,2003-09-13 12:53:23,2003-09-13 12:53:23,0.300,STIS  ,0.05X31NDB,MIRVIS,0.000,9620,2003-09-13 16:46:09,,,,0.588
O8KE5OIZQ,NONE,03 32 17.950,-27 52 03.13,1,2003-09-13 14:22:06,2003-09-13 14:22:06,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-13 22:04:32,,,,0.588
O8KE5OJ0Q,NONE,03 32 17.950,-27 52 03.13,1,2003-09-13 14:23:28,2003-09-13 14:23:28,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-13 22:04:32,,,,0.588
O8KE5OJ1Q,NONE,03 32 17.950,-27 52 03.13,1,2003-09-13 14:24:54,2003-09-13 14:24:54,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-13 22:04:33,,,,0.588
O8KE5OJ2Q,NONE,03 32 17.950,-27 52 03.13,1,2003-09-13 14:26:17,2003-09-13 14:26:17,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-13 22:04:43,,,,0.588
O8KE5OJ3Q,NONE,03 32 17.950,-27 52 03.13,1,2003-09-13 14:27:43,2003-09-13 14:27:43,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-13 22:05:03,,,,0.588
O8KE5OJ4Q,NONE,03 32 17.950,-27 52 03.13,1,2003-09-13 14:31:11,2003-09-13 14:31:11,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-13 22:05:04,,,,0.588
O8KE5OJ5Q,NONE,03 32 17.950,-27 52 03.13,1,2003-09-13 14:32:33,2003-09-13 14:32:33,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-13 22:05:04,,,,0.588
O8KE5OJ7Q,NONE,03 32 17.950,-27 52 03.13,1,2003-09-13 14:36:58,2003-09-13 14:36:58,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-13 22:06:04,,,,0.588
