Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
O8KE5RLLQ,NONE,03 32 20.175,-27 51 29.15,1,2003-09-13 19:10:41,2003-09-13 19:10:41,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:50:59,,,,0.894
O8KE5RLMQ,NONE,03 32 20.175,-27 51 29.15,1,2003-09-13 19:12:07,2003-09-13 19:12:07,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:50:59,,,,0.894
O8KE5RLNQ,NONE,03 32 20.175,-27 51 29.15,1,2003-09-13 19:13:30,2003-09-13 19:13:30,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:51:00,,,,0.894
O8KE5RLOQ,NONE,03 32 20.175,-27 51 29.15,1,2003-09-13 19:14:56,2003-09-13 19:14:56,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:51:00,,,,0.894
O8KE5RLPQ,NONE,03 32 20.175,-27 51 29.15,1,2003-09-13 19:18:24,2003-09-13 19:18:24,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:51:00,,,,0.894
O8KE5RLQQ,NONE,03 32 20.175,-27 51 29.15,1,2003-09-13 19:19:46,2003-09-13 19:19:46,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:51:00,,,,0.894
O8KE5RLSQ,NONE,03 32 20.175,-27 51 29.15,1,2003-09-13 19:24:11,2003-09-13 19:24:11,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:52:01,,,,0.894
O8KE5RLTQ,NONE,03 32 20.175,-27 51 29.15,1,2003-09-13 19:25:34,2003-09-13 19:25:34,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:52:01,,,,0.894
O8KE5RLUQ,NONE,03 32 20.175,-27 51 29.15,1,2003-09-13 19:27:00,2003-09-13 19:27:00,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:52:01,,,,0.894
IBEUJB030,GOODS-S075-VJB,03 32 23.491,-27 51 50.80,86,2011-01-16 03:59:22,2011-01-16 04:17:10,1005.868,WFC3  ,IR-FIX,F125W,12486.060,12061,2011-01-16 12:24:20,IBEUJB030,,24,0.909
IBEUJB020,GOODS-S075-VJB,03 32 23.464,-27 51 50.31,86,2011-01-16 03:48:17,2011-01-16 05:26:03,1105.868,WFC3  ,IR-FIX,F160W,15369.176,12061,2011-01-16 12:21:55,IBEUJB020,,24,0.909
IBEUJBS8Q,GOODS-S075-VJB,03 32 23.500,-27 51 50.10,86,2011-01-16 05:28:04,2011-01-16 05:35:18,434.000,WFC3  ,UVIS-IR-FIX,F350LP,5859.400,12061,2011-01-16 12:19:25,IBEUJBS8Q,,,0.918
U8ITZ801M,GOODS,03 32 17.111,-27 51 45.44,6,2003-08-30 19:53:15,2003-08-30 20:09:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-08-31 00:17:28,U8ITZ801M,,,0.918
U8ITZ802M,GOODS,03 32 17.111,-27 51 45.44,6,2003-08-30 20:12:15,2003-08-30 20:23:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-08-31 00:19:04,U8ITZ802M,,,0.918
U8LPAE01M,GOODS,03 32 23.075,-27 53 02.13,3,2003-09-13 16:43:15,2003-09-13 16:59:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-14 00:03:47,U8LPAE01M,,,0.919
U8LPAE02M,GOODS,03 32 23.075,-27 53 02.13,3,2003-09-13 17:02:15,2003-09-13 17:10:35,500.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-14 00:04:27,U8LPAE02M,,,0.919
O8KE5QKPQ,NONE,03 32 23.075,-27 53 02.13,1,2003-09-13 17:35:10,2003-09-13 17:35:10,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-14 01:47:24,,,,0.919
O8KE5QKQQ,NONE,03 32 23.075,-27 53 02.13,1,2003-09-13 17:36:32,2003-09-13 17:36:32,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-14 01:47:25,,,,0.919
O8KE5QKRQ,NONE,03 32 23.075,-27 53 02.13,1,2003-09-13 17:37:58,2003-09-13 17:37:58,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-14 01:47:45,,,,0.919
O8KE5QKSQ,NONE,03 32 23.075,-27 53 02.13,1,2003-09-13 17:39:21,2003-09-13 17:39:21,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-14 01:47:45,,,,0.919
O8KE5QKTQ,NONE,03 32 23.075,-27 53 02.13,1,2003-09-13 17:40:47,2003-09-13 17:40:47,0.300,STIS  ,0.05X31NDA,MIRVIS,0.000,9620,2003-09-14 01:47:45,,,,0.919
O8KE5QKUQ,NONE,03 32 23.075,-27 53 02.13,1,2003-09-13 17:43:25,2003-09-13 17:43:25,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:47:45,,,,0.919
O8KE5QKVQ,NONE,03 32 23.075,-27 53 02.13,1,2003-09-13 17:44:48,2003-09-13 17:44:48,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:47:46,,,,0.919
O8KE5QKXQ,NONE,03 32 23.075,-27 53 02.13,1,2003-09-13 17:49:13,2003-09-13 17:49:13,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:47:46,,,,0.919
O8KE5QKYQ,NONE,03 32 23.075,-27 53 02.13,1,2003-09-13 17:50:36,2003-09-13 17:50:36,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:47:46,,,,0.919
O8KE5QKZQ,NONE,03 32 23.075,-27 53 02.13,1,2003-09-13 17:52:02,2003-09-13 17:52:02,0.600,STIS  ,0.05X31NDA,G430M,5471.000,9620,2003-09-14 01:47:56,,,,0.919
IBEUI9E0Q,GOODS-S205-VI9,03 32 16.830,-27 51 48.70,86,2011-06-04 00:23:57,2011-06-04 00:33:10,552.937,WFC3  ,IR-FIX,F160W,15369.176,12061,2011-06-04 03:15:21,IBEUI9E0Q,,28,0.930
IBEUI9E4Q,GOODS-S205-VI9,03 32 16.800,-27 51 48.35,86,2011-06-04 00:35:11,2011-06-04 00:42:25,434.000,WFC3  ,UVIS-IR-FIX,F350LP,5859.400,12061,2011-06-04 03:15:57,IBEUI9E4Q,,,0.939
IBEUI9DMQ,GOODS-S205-VI9,03 32 16.811,-27 51 47.86,86,2011-06-03 23:55:42,2011-06-04 00:04:05,502.934,WFC3  ,IR-FIX,F160W,15369.176,12061,2011-06-04 02:45:53,IBEUI9DMQ,,34,0.942
N62B22030,POST-SAA-DARK,03 32 20.276,-27 51 25.90,0,2007-09-25 14:07:29,2007-09-25 14:16:02,486.718,NICMOS,NIC3-FIX,BLANK,0.000,8795,2007-09-26 15:33:43,N62B22030,,,0.949
IBEUI9020,GOODS-S205-VI9,03 32 16.766,-27 51 47.79,86,2011-06-04 00:05:07,2011-06-04 00:22:55,1005.868,WFC3  ,IR-FIX,F125W,12486.060,12061,2011-06-04 03:16:31,IBEUI9020,,28,0.950
IBEU75020,GOODS-SD2-V75,03 32 16.875,-27 51 45.81,86,2010-11-26 21:43:12,2010-11-26 22:00:59,1005.868,WFC3  ,IR-FIX,F125W,12486.060,12061,2010-11-27 01:18:43,IBEU75020,,31,0.952
IBEV90020,GOODS-SD2-V90,03 32 16.875,-27 51 45.81,77,2011-12-25 20:00:58,2011-12-25 20:18:46,1005.868,WFC3  ,IR-FIX,F160W,15369.176,12062,2011-12-26 05:12:28,IBEV90020,,38,0.952
O8JLA1KRQ,DARK,03 32 24.480,-27 52 24.32,0,2003-09-11 23:59:55,2003-09-12 00:18:15,1100.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-12 20:31:54,O8JLA1KRQ,,,0.955
O8JLA1KSQ,DARK,03 32 24.480,-27 52 24.32,0,2003-09-12 00:18:59,2003-09-12 00:19:59,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-12 20:31:55,O8JLA1KSQ,,,0.955
O8JLA1KTQ,DARK,03 32 24.480,-27 52 24.32,0,2003-09-12 00:20:43,2003-09-12 00:21:43,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-12 20:31:55,O8JLA1KTQ,,,0.955
U8H09701M,DARK,03 32 24.480,-27 52 24.32,0,2003-09-12 00:02:15,2003-09-12 00:18:55,1000.000,WFPC2 ,WFALL,F1042M;F437N,-1.000,9595,2003-09-12 17:51:36,U8H09701M,,,0.955
U8LPAA01M,GOODS,03 32 24.480,-27 52 24.32,3,2003-09-11 22:55:15,2003-09-11 23:11:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-12 17:48:14,U8LPAA01M,,,0.955
U8LPAA02M,GOODS,03 32 24.480,-27 52 24.32,3,2003-09-11 23:17:15,2003-09-11 23:30:35,800.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-12 17:50:26,U8LPAA02M,,,0.955
O8JL9UDUQ,DARK,03 32 24.480,-27 52 19.70,0,2003-09-08 01:27:24,2003-09-08 01:45:44,1100.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-08 04:58:34,O8JL9UDUQ,,,0.956
U8H08V01M,DARK,03 32 24.480,-27 52 19.70,0,2003-09-08 00:14:15,2003-09-08 00:30:55,1000.000,WFPC2 ,WFALL,F1042M;F437N,-1.000,9595,2003-09-08 05:03:13,U8H08V01M,,,0.956
U8LP9U01M,GOODS,03 32 24.480,-27 52 19.70,3,2003-09-08 00:41:15,2003-09-08 00:57:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-08 05:06:23,U8LP9U01M,,,0.956
U8LP9U02M,GOODS,03 32 24.480,-27 52 19.70,3,2003-09-08 01:00:15,2003-09-08 01:08:35,500.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-08 05:08:33,U8LP9U02M,,,0.956
OBN31XDQQ,DARK,03 32 16.723,-27 51 47.62,0,2011-06-04 00:19:13,2011-06-04 00:20:13,60.000,STIS  ,F28X50LP,MIRVIS,0.000,12401,2011-06-04 02:35:45,OBN31XDQQ,,,0.960
OBN31XDRQ,DARK,03 32 16.723,-27 51 47.62,0,2011-06-04 00:20:57,2011-06-04 00:21:57,60.000,STIS  ,F28X50LP,MIRVIS,0.000,12401,2011-06-04 02:35:50,OBN31XDRQ,,,0.960
OBN90Z010,BIAS,03 32 16.738,-27 51 47.33,0,2011-06-04 01:06:57,2011-06-04 01:19:28,0.000,STIS  ,F28X50LP,MIRVIS,0.000,12403,2011-06-04 03:11:55,,,,0.960
OBN31YE7Q,DARK,03 32 16.738,-27 51 47.33,0,2011-06-04 00:35:27,2011-06-04 00:53:47,1100.000,STIS  ,F28X50LP,MIRVIS,0.000,12401,2011-06-04 03:08:30,OBN31YE7Q,,,0.960
OBN31YE8Q,DARK,03 32 16.738,-27 51 47.33,0,2011-06-04 00:54:31,2011-06-04 00:55:31,60.000,STIS  ,F28X50LP,MIRVIS,0.000,12401,2011-06-04 03:08:34,OBN31YE8Q,,,0.960
OBN31YE9Q,DARK,03 32 16.738,-27 51 47.33,0,2011-06-04 00:56:15,2011-06-04 00:57:15,60.000,STIS  ,F28X50LP,MIRVIS,0.000,12401,2011-06-04 03:08:49,OBN31YE9Q,,,0.960
IBEU75PYQ,GOODS-SD2-V75,03 32 16.830,-27 51 45.74,86,2010-11-26 21:33:47,2010-11-26 21:42:09,502.934,WFC3  ,IR-FIX,F160W,15369.176,12061,2010-11-27 00:02:48,IBEU75PYQ,,37,0.961
IBEV90X5Q,GOODS-SD2-V90,03 32 16.830,-27 51 45.74,77,2011-12-25 19:51:33,2011-12-25 19:59:56,502.934,WFC3  ,IR-FIX,F125W,12486.060,12062,2011-12-25 23:27:07,IBEV90X5Q,,43,0.961
J8JEJCO5Q,DARK,03 32 24.470,-27 52 15.08,0,2003-09-05 03:21:41,2003-09-05 03:38:22,1000.000,ACS   ,WFC,F502N;F660N,0.000,9675,2003-09-05 06:06:29,J8JEJCO5Q,,,0.961
J8JEJCO6Q,DARK,03 32 24.470,-27 52 15.08,0,2003-09-05 03:21:44,2003-09-05 03:37:38,953.000,ACS   ,HRC,F775W;F330W,0.000,9675,2003-09-05 06:01:27,J8JEJCO6Q,,,0.961
O8JL9NO1Q,DARK,03 32 24.470,-27 52 15.08,0,2003-09-05 03:02:58,2003-09-05 03:21:18,1100.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-05 05:57:56,O8JL9NO1Q,,,0.961
O8JL9NO2Q,DARK,03 32 24.470,-27 52 15.08,0,2003-09-05 03:22:02,2003-09-05 03:23:02,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-05 06:00:57,O8JL9NO2Q,,,0.961
O8JL9NO3Q,DARK,03 32 24.470,-27 52 15.08,0,2003-09-05 03:23:46,2003-09-05 03:24:46,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9606,2003-09-05 06:04:58,O8JL9NO3Q,,,0.961
U8ITZS01M,GOODS,03 32 24.470,-27 52 15.08,6,2003-09-05 02:17:15,2003-09-05 02:33:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-05 05:02:20,U8ITZS01M,,,0.961
U8ITZS02M,GOODS,03 32 24.470,-27 52 15.08,6,2003-09-05 02:36:15,2003-09-05 02:44:35,500.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-05 05:02:59,U8ITZS02M,,,0.961
OBN31XDPQ,DARK,03 32 16.749,-27 51 46.84,0,2011-06-04 00:00:09,2011-06-04 00:18:29,1100.000,STIS  ,F28X50LP,MIRVIS,0.000,12401,2011-06-04 02:35:41,OBN31XDPQ,,,0.963
IBEU75QCQ,GOODS-SD2-V75,03 32 16.841,-27 51 45.25,86,2010-11-26 22:11:36,2010-11-26 22:18:50,434.000,WFC3  ,UVIS-IR-FIX,F350LP,5859.400,12061,2010-11-27 01:26:52,IBEU75QCQ,,,0.964
IBEV90XJQ,GOODS-SD2-V90,03 32 16.841,-27 51 45.25,77,2011-12-25 20:29:58,2011-12-25 20:37:12,434.000,WFC3  ,UVIS-CENTER,F350LP,5859.400,12062,2011-12-26 05:13:01,IBEV90XJQ,,,0.964
N9X146010,GOODS-SOUTH16,03 32 17.685,-27 51 35.06,30,2007-09-25 11:25:39,2007-09-25 16:55:59,7487.627,NICMOS,NIC3,F160W,16041.600,11082,2007-09-26 15:39:34,N9X146010,,2,0.966
U8LPA301M,GOODS,03 32 20.175,-27 51 24.53,3,2003-09-10 15:07:15,2003-09-10 15:23:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-10 19:51:57,U8LPA301M,,,0.971
U8LPA302M,GOODS,03 32 20.175,-27 51 24.53,3,2003-09-10 15:26:15,2003-09-10 15:37:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-10 19:52:36,U8LPA302M,,,0.971
U8LPAQ01M,GOODS,03 32 20.175,-27 51 24.53,3,2003-09-10 14:56:15,2003-09-10 15:00:35,260.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-10 16:23:27,U8LPAQ01M,,,0.971
U8ITZD01M,GOODS,03 32 24.460,-27 52 10.46,6,2003-08-31 03:50:15,2003-08-31 04:06:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-08-31 10:12:30,U8ITZD01M,,,0.972
U8ITZE01M,GOODS,03 32 24.460,-27 52 10.46,6,2003-08-31 04:12:15,2003-08-31 04:20:35,500.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-08-31 10:15:09,U8ITZE01M,,,0.972
IBEU75Q9Q,GOODS-SD2-V75,03 32 16.811,-27 51 44.90,86,2010-11-26 22:02:02,2010-11-26 22:09:34,452.936,WFC3  ,IR-FIX,F160W,15369.176,12061,2010-11-27 01:15:23,IBEU75Q9Q,,31,0.973
IBEV90XGQ,GOODS-SD2-V90,03 32 16.811,-27 51 44.90,77,2011-12-25 20:19:48,2011-12-25 20:28:11,502.936,WFC3  ,IR-FIX,F125W,12486.060,12062,2011-12-26 05:11:55,IBEV90XGQ,,37,0.973
U8LP9M01M,GOODS,03 32 19.355,-27 51 25.32,3,2003-09-11 19:44:15,2003-09-11 20:00:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-12 17:20:24,U8LP9M01M,,,0.974
U8LP9M02M,GOODS,03 32 19.355,-27 51 25.32,3,2003-09-11 20:03:15,2003-09-11 20:19:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-12 17:21:37,U8LP9M02M,,,0.974
J8JAHEODQ,DARK,03 32 19.502,-27 51 24.75,0,2002-11-07 03:18:44,2002-11-07 03:35:25,1000.000,ACS   ,,F850LP;CLEAR2L,0.000,9647,2002-11-07 12:05:17,J8JAHEODQ,,,0.978
J8JAHEOEQ,DARK,03 32 19.502,-27 51 24.75,0,2002-11-07 03:18:47,2002-11-07 03:34:42,953.000,ACS   ,,F850LP;CLEAR2L,0.000,9647,2002-11-07 12:05:17,J8JAHEOEQ,,,0.978
O8IH3RO9Q,DARK,03 32 19.502,-27 51 24.75,1,2002-11-07 03:10:27,2002-11-07 03:28:47,1100.000,STIS  ,F28X50LP,MIRVIS,0.000,9605,2002-11-07 11:37:03,O8IH3RO9Q,,,0.978
O8IH3ROAQ,DARK,03 32 19.502,-27 51 24.75,1,2002-11-07 03:29:31,2002-11-07 03:30:31,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9605,2002-11-07 11:37:04,O8IH3ROAQ,,,0.978
O8IH3ROBQ,DARK,03 32 19.502,-27 51 24.75,1,2002-11-07 03:31:15,2002-11-07 03:32:15,60.000,STIS  ,F28X50LP,MIRVIS,0.000,9605,2002-11-07 11:37:04,O8IH3ROBQ,,,0.978
U8GW5O01M,DARK,03 32 19.502,-27 51 24.75,0,2002-11-07 03:02:16,2002-11-07 03:18:56,1000.000,WFPC2 ,WFALL,F1042M;F437N,-1.000,9593,2002-11-07 11:43:36,U8GW5O01M,,,0.978
U8IL1701M,EARTH-CALIB,03 32 19.502,-27 51 24.75,0,2002-11-07 01:52:16,2002-11-07 02:08:56,1000.000,WFPC2 ,WFALL,F160BW,1522.000,9598,2002-11-07 10:52:17,U8IL1701M,,,0.978
U8ITHW01M,GOODS,03 32 19.502,-27 51 24.75,6,2002-11-07 01:26:17,2002-11-07 01:34:37,500.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2002-11-07 10:51:20,U8ITHW01M,,,0.978
UA4B0901M,EARTH-CALIB,03 32 17.760,-27 51 32.39,0,2007-09-25 17:38:16,2007-09-25 17:43:16,300.000,WFPC2 ,WFALL-FIX,F606W,5997.000,11033,2007-09-26 15:39:00,UA4B0901M,,,0.994
UA4B0902M,EARTH-CALIB,03 32 17.760,-27 51 32.39,0,2007-09-25 17:45:16,2007-09-25 17:50:16,300.000,WFPC2 ,WFALL-FIX,F606W,5997.000,11033,2007-09-26 15:41:03,UA4B0902M,,,0.994
UA4B0903M,EARTH-CALIB,03 32 17.760,-27 51 32.39,0,2007-09-25 17:52:16,2007-09-25 17:57:16,300.000,WFPC2 ,WFALL-FIX,F606W,5997.000,11033,2007-09-26 15:41:32,UA4B0903M,,,0.994
IBETAS040,GOODS-S2-V3S,03 32 16.631,-27 51 44.29,435,2011-06-07 22:10:47,2011-06-08 02:06:23,8195.396,WFC3  ,IR-FIX,F105W,10551.047,12060,2011-06-08 04:41:53,IBETAS040,,26,1.010
N62B23030,POST-SAA-DARK,03 32 20.728,-27 51 21.99,0,2007-09-25 15:46:36,2007-09-25 15:55:09,486.718,NICMOS,NIC3-FIX,BLANK,0.000,8795,2007-09-26 15:37:01,N62B23030,,,1.021
J8E685020,ANY,03 32 21.097,-27 53 23.17,548,2003-02-03 06:05:17,2003-02-03 06:23:28,828.000,ACS   ,HRC,F555W;CLEAR2S,5355.557,9425,2003-02-03 09:05:34,J8E685020,,,1.027
J8E685040,ANY,03 32 21.097,-27 53 23.17,548,2003-02-03 06:28:29,2003-02-03 06:46:40,828.000,ACS   ,HRC,F892N;CLEAR2S,8916.061,9425,2003-02-03 09:16:11,J8E685040,,,1.027
J8E685060,ANY,03 32 21.097,-27 53 23.17,548,2003-02-03 07:37:50,2003-02-03 08:19:13,1696.000,ACS   ,HRC,G800L;CLEAR2S,7502.208,9425,2003-02-03 12:43:29,J8E685060,,,1.027
OBN913020,BIAS,03 32 16.552,-27 51 43.86,0,2011-06-08 01:13:27,2011-06-08 01:14:55,0.000,STIS  ,F28X50LP,MIRVIS,0.000,12403,2011-06-08 03:18:09,,,,1.028
U8ITHV01M,GOODS,03 32 19.473,-27 51 21.77,6,2002-11-07 01:11:17,2002-11-07 01:19:37,500.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2002-11-07 10:49:33,U8ITHV01M,,,1.028
U8ITII02M,GOODS,03 32 19.473,-27 51 21.77,6,2002-11-07 02:46:17,2002-11-07 02:54:37,500.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2002-11-07 11:42:04,U8ITII02M,,,1.028
OBN325OZQ,DARK,03 32 16.544,-27 51 43.76,0,2011-06-08 00:00:05,2011-06-08 00:18:25,1100.000,STIS  ,F28X50LP,MIRVIS,0.000,12401,2011-06-08 02:49:34,OBN325OZQ,,,1.031
IBLS1HOJQ,DARK,03 32 16.569,-27 51 43.27,0,2011-06-07 21:50:54,2011-06-07 21:58:27,452.936,WFC3  ,IR,BLANK,0.000,12380,2011-06-08 02:57:07,IBLS1HOJQ,,,1.031
OBN913010,BIAS,03 32 16.542,-27 51 43.19,0,2011-06-08 00:57:13,2011-06-08 01:09:44,0.000,STIS  ,F28X50LP,MIRVIS,0.000,12403,2011-06-08 03:17:14,,,,1.037
OBN325P0Q,DARK,03 32 16.542,-27 51 43.19,0,2011-06-08 00:19:09,2011-06-08 00:20:09,60.000,STIS  ,F28X50LP,MIRVIS,0.000,12401,2011-06-08 02:49:38,OBN325P0Q,,,1.037
OBN325P1Q,DARK,03 32 16.542,-27 51 43.19,0,2011-06-08 00:20:53,2011-06-08 00:21:53,60.000,STIS  ,F28X50LP,MIRVIS,0.000,12401,2011-06-08 02:49:44,OBN325P1Q,,,1.037
OBN326P6Q,DARK,03 32 16.542,-27 51 43.19,0,2011-06-08 00:28:39,2011-06-08 00:46:59,1100.000,STIS  ,F28X50LP,MIRVIS,0.000,12401,2011-06-08 03:14:39,OBN326P6Q,,,1.037
OBN326P7Q,DARK,03 32 16.542,-27 51 43.19,0,2011-06-08 00:47:43,2011-06-08 00:48:43,60.000,STIS  ,F28X50LP,MIRVIS,0.000,12401,2011-06-08 03:14:44,OBN326P7Q,,,1.037
OBN326P8Q,DARK,03 32 16.542,-27 51 43.19,0,2011-06-08 00:49:27,2011-06-08 00:50:27,60.000,STIS  ,F28X50LP,MIRVIS,0.000,12401,2011-06-08 03:14:48,OBN326P8Q,,,1.037
U8ITZW01M,GOODS,03 32 20.165,-27 51 19.91,6,2003-09-06 21:30:15,2003-09-06 21:46:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-07 01:32:17,U8ITZW01M,,,1.048
U8ITZW02M,GOODS,03 32 20.165,-27 51 19.91,6,2003-09-06 21:49:15,2003-09-06 22:00:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-07 01:32:55,U8ITZW02M,,,1.048
U8LP9K01M,GOODS,03 32 20.165,-27 51 19.91,3,2003-09-06 21:20:15,2003-09-06 21:24:35,260.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-07 01:31:33,U8LP9K01M,,,1.048
U8LP9S01M,GOODS,03 32 19.355,-27 51 20.70,3,2003-09-07 21:30:15,2003-09-07 21:46:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-08 03:36:21,U8LP9S01M,,,1.050
U8LP9S02M,GOODS,03 32 19.355,-27 51 20.70,3,2003-09-07 21:49:15,2003-09-07 22:00:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-08 03:37:09,U8LP9S02M,,,1.050
U8LPAL01M,GOODS,03 32 19.355,-27 51 20.70,3,2003-09-07 21:20:15,2003-09-07 21:24:35,260.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-08 03:35:04,U8LPAL01M,,,1.050
J94TGFTAQ,BIAS,03 32 20.924,-27 51 20.07,0,2005-06-10 00:36:41,2005-06-10 00:36:40,0.000,ACS   ,HRC,F775W;F330W,0.000,10389,2005-06-10 15:23:28,,,,1.059
J94TGFTBQ,BIAS,03 32 20.924,-27 51 20.07,0,2005-06-10 00:37:35,2005-06-10 00:37:26,0.000,ACS   ,WFC,F502N;F660N,0.000,10389,2005-06-10 15:23:38,,,,1.059
J94TGFTCQ,DARK,03 32 20.924,-27 51 20.07,0,2005-06-10 00:43:57,2005-06-10 01:00:38,1000.000,ACS   ,WFC,F502N;F660N,0.000,10389,2005-06-10 15:26:03,J94TGFTCQ,,,1.059
J94TGFTDQ,DARK,03 32 20.924,-27 51 20.07,0,2005-06-10 00:44:00,2005-06-10 00:59:54,953.000,ACS   ,HRC,F775W;F330W,0.000,10389,2005-06-10 15:25:01,J94TGFTDQ,,,1.059
U8GW5N01M,DARK,03 32 19.444,-27 51 18.78,0,2002-11-07 00:25:16,2002-11-07 00:41:56,1000.000,WFPC2 ,WFALL,F1042M;F437N,-1.000,9593,2002-11-07 09:56:09,U8GW5N01M,,,1.079
U8ITHU01M,GOODS,03 32 19.444,-27 51 18.78,6,2002-11-07 00:54:17,2002-11-07 01:04:17,600.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2002-11-07 09:57:55,U8ITHU01M,,,1.079
U8ITII01M,GOODS,03 32 19.444,-27 51 18.78,6,2002-11-07 02:27:17,2002-11-07 02:33:57,400.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2002-11-07 10:53:08,U8ITII01M,,,1.079
JBEUGV010,GOODS-SD5,03 32 24.275,-27 52 58.15,86,2010-10-09 18:26:11,2010-10-09 19:09:50,1936.000,ACS   ,WFC,CLEAR1L;F814W,8044.989,12061,2010-10-09 23:42:38,JBEUGV010,,51,1.084
J94TGHTQQ,BIAS,03 32 21.254,-27 51 18.68,0,2005-06-10 02:13:33,2005-06-10 02:13:32,0.000,ACS   ,HRC,F775W;F330W,0.000,10389,2005-06-10 15:26:32,,,,1.096
J94TGHTRQ,BIAS,03 32 21.254,-27 51 18.68,0,2005-06-10 02:14:27,2005-06-10 02:14:18,0.000,ACS   ,WFC,F502N;F660N,0.000,10389,2005-06-10 15:27:03,,,,1.096
J94TGHTSQ,DARK,03 32 21.254,-27 51 18.68,0,2005-06-10 02:20:49,2005-06-10 02:37:30,1000.000,ACS   ,WFC,F502N;F660N,0.000,10389,2005-06-10 15:28:35,J94TGHTSQ,,,1.096
J94TGHTTQ,DARK,03 32 21.254,-27 51 18.68,0,2005-06-10 02:20:52,2005-06-10 02:36:46,953.000,ACS   ,HRC,F775W;F330W,0.000,10389,2005-06-10 15:27:34,J94TGHTTQ,,,1.096
