background_abmag,sun_alt,sun_angle
79.75531092585688,-16.653854,70.62696099999998
79.75531092585688,-16.653854,70.62696099999998
79.36242622981234,-33.687504,70.631332
79.36242622981234,-33.687504,70.631332
inf,84.54528000000002,70.643677
inf,84.54528000000002,70.643677
79.82808583343193,29.380160999999998,70.647964
79.82808583343193,29.380160999999998,70.647964
79.55555715439255,-30.239819,70.652344
79.55555715439255,-30.239819,70.652344
inf,84.91959399999999,70.637024
inf,84.91959399999999,70.637024
79.82021323685233,29.776876,70.641312
79.82021323685233,29.776876,70.641312
79.55620494875924,-30.037357,70.645691
79.55620494875924,-30.037357,70.645691
inf,25.955397,116.23851
inf,25.955397,116.23851
79.79226784840347,-23.294628,116.23654199999999
79.79226784840347,-23.294628,116.23654199999999
